,Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
286,Kærnehøjvej 122,"Højby, 5260 Odense S",1125000.0,2023,160,4,2,Familiehandel
287,"Sdr. Boulevard 58A, st.",5000 Odense C,1150000.0,2023,102,2,1,Familiehandel
288,Søparken 112,"Hjallese, 5260 Odense S",1142286.0,2023,169,6,2,Familiehandel
289,Tyge Rothes Vej 44,5230 Odense M,975794.0,2023,154,6,1,Familiehandel
290,Piavænget 6,"Næsby, 5270 Odense N",1150000.0,2023,122,5,1,Familiehandel
291,Muslingevej 5,"Seden, 5240 Odense NØ",1402500.0,2023,159,7,1,Familiehandel
292,Søhusvej 72,"Søhus, 5270 Odense N",1850000.0,2023,195,4,2,Familiehandel
293,Lucernevej 15,"Tarup, 5210 Odense NV",640000.0,2023,110,5,1,Familiehandel
294,"Malmøgade 12, 3. tv.",5000 Odense C,875000.0,2023,62,2,1,Familiehandel
295,Stenløsevej 214,"Hjallese, 5260 Odense S",734000.0,2023,110,4,1,Familiehandel
296,Bispeengen 56,"Anderup, 5270 Odense N",700000.0,2023,159,5,2,Familiehandel
297,Ugletoften 279,"Højby, 5260 Odense S",484940.0,2023,90,4,1,Familiehandel
298,"Billesgade 17D, st.",5000 Odense C,1150000.0,2023,59,2,1,Familiehandel
299,Rådyrløkken 87,"Slukefter, 5210 Odense NV",1800000.0,2023,191,8,3,Familiehandel
300,Enebærvej 18,"Hjallese, 5260 Odense S",1105000.0,2023,119,6,1,Familiehandel
301,Pilevej 17,"Ejlstrup, 5200 Odense V",582496.0,2023,127,4,1,Familiehandel
302,Ugletoften 101,"Højby, 5260 Odense S",1175000.0,2023,132,4,2,Familiehandel
303,"Vandværksvej 16, 1. th.",5000 Odense C,2400000.0,2023,105,3,1,Familiehandel
304,Vejrup-Vej 2,"Vejrup, 5491 Blommenslyst",1000000.0,2023,256,7,2,Familiehandel
305,"Dronningensgade 22A, st.",5000 Odense C,600000.0,2023,78,3,1,Familiehandel
306,Ildfuglevænget 11,"Hjallese, 5260 Odense S",2185000.0,2023,190,8,3,Familiehandel
307,Lyngmosevænget 4,5000 Odense C,1600000.0,2023,136,5,2,Familiehandel
308,Stenløse Bygade 22B,"Stenløse, 5260 Odense S",1147500.0,2023,130,5,2,Familiehandel
309,Rasmus Rasks Allé 7,"Bellinge, 5250 Odense SV",1445000.0,2023,123,4,1,Familiehandel
310,"Dronningensgade 62, 1.",5000 Odense C,3100000.0,2023,135,4,1,Familiehandel
311,"Dronningensgade 62, st.",5000 Odense C,3100000.0,2023,70,2,1,Familiehandel
312,Anne Maries Allé 10,"Sanderum, 5250 Odense SV",2122500.0,2023,172,6,2,Familiehandel
313,Lahnsgade 14,5000 Odense C,4097600.0,2023,188,6,2,Familiehandel
314,Piletoften 10,"Agedrup, 5320 Agedrup",977500.0,2023,105,4,1,Familiehandel
315,Prins Haralds Allé 59,"Sanderum, 5250 Odense SV",1033000.0,2023,104,4,1,Familiehandel
316,"Rugårdsvej 34, 1. tv.",5000 Odense C,977500.0,2023,84,3,1,Familiehandel
317,Væbnerhatten 20,"Tornbjerg, 5220 Odense SØ",1657500.0,2023,136,4,2,Familiehandel
318,"Teisensvej 2B, st. tv.",5000 Odense C,1400000.0,2023,70,2,1,Familiehandel
319,"Schacksgade 26, 1. tv.",5000 Odense C,1550000.0,2023,65,2,1,Familiehandel
320,Kirkendrupvej 46,"Kirkendrup, 5270 Odense N",780801.0,2023,78,4,1,Familiehandel
321,Skovhaven 128,"Bullerup, 5320 Agedrup",2150000.0,2023,175,5,2,Familiehandel
322,Tornmarksvej 95,"Ejlstrup, 5491 Blommenslyst",1500000.0,2023,160,7,1,Familiehandel
323,Kronhjortløkken 10,"Korup, 5210 Odense NV",1730100.0,2023,180,7,2,Familiehandel
324,Munkebjergvej 101,5230 Odense M,3600000.0,2023,129,3,1,Familiehandel
325,Radbyvej 64,"Radby, 5320 Agedrup",1150000.0,2023,180,3,1,Familiehandel
326,Hybenvænget 1,"Bellinge, 5250 Odense SV",1450000.0,2023,188,6,2,Familiehandel
327,Birkedals Allé 80,"Dalum, 5250 Odense SV",761924.0,2023,76,4,1,Familiehandel
328,"Reventlowsvej 72, st. tv.",5000 Odense C,476000.0,2023,66,2,1,Familiehandel
329,"Ørstedsgade 39, st. th.",5000 Odense C,627000.0,2023,63,2,1,Familiehandel
330,Rødkløvervej 7,"Tarup, 5210 Odense NV",1147500.0,2023,144,4,2,Familiehandel
331,Lodsvej 24,"Stige, 5270 Odense N",2000000.0,2023,123,4,1,Familiehandel
333,"Lotusvej 12, 2. mf.","Sanderum, 5250 Odense SV",870000.0,2023,49,2,1,Familiehandel
334,"Thuresensgade 3, 2. th.",5000 Odense C,1300000.0,2023,63,2,1,Familiehandel
335,Bullerupvej 66,"Seden, 5240 Odense NØ",600000.0,2023,93,4,1,Familiehandel
336,Vokshatten 26,"Tornbjerg, 5220 Odense SØ",2500000.0,2023,158,5,1,Familiehandel
337,Paaskeløkkevej 32,5000 Odense C,1150000.0,2023,84,5,1,Familiehandel
338,Bogensevej 403,"Næsbyhoved-Broby, 5270 Odense N",446250.0,2023,133,4,1,Familiehandel
339,Daltoften 56A,"Agedrup, 5320 Agedrup",1701000.0,2023,152,4,2,Familiehandel
340,Vilhelminevej 14,5000 Odense C,4200000.0,2023,132,5,2,Familiehandel
341,Rypebakken 25,"Snestrup, 5210 Odense NV",1175000.0,2023,119,4,2,Familiehandel
342,Valhalsvej 1,"Bolbro, 5200 Odense V",1500000.0,2023,136,4,2,Familiehandel
343,"Rødegårdsvej 63, st. th.",5000 Odense C,220000.0,2023,64,2,1,Familiehandel
344,J.L. Heibergs Vej 82,5230 Odense M,1275000.0,2023,115,5,2,Familiehandel
345,Skibhusvej 433,5000 Odense C,850000.0,2023,83,3,1,Familiehandel
346,Højby Allé 12,"Højby, 5260 Odense S",1550000.0,2023,100,3,1,Familiehandel
347,"Lollandsgade 21, st.",5000 Odense C,800000.0,2023,84,3,1,Familiehandel
348,"Lollandsgade 21, 1.",5000 Odense C,800000.0,2023,84,3,1,Familiehandel
349,Ørbækvej 744,"Birkum, 5220 Odense SØ",1200000.0,2023,136,4,1,Familiehandel
350,Fuglebakken 62,"Snestrup, 5210 Odense NV",1680000.0,2023,80,3,1,Familiehandel
351,Vesterbro 135,5000 Odense C,391000.0,2023,116,6,2,Familiehandel
352,Møllemarksvej 13,"Bolbro, 5200 Odense V",3600000.0,2023,166,8,1,Familiehandel
353,Isabellavænget 4,"Lumby, 5270 Odense N",1375000.0,2023,166,4,2,Familiehandel
354,"Thorsgade 44, st.",5000 Odense C,2800000.0,2023,79,3,1,Familiehandel
355,"Sdr. Boulevard 250, 1. tv.",5000 Odense C,850000.0,2023,84,3,1,Familiehandel
356,Skolevej 47,"Næsby, 5270 Odense N",2300000.0,2023,153,6,3,Familiehandel
357,Æblegrenen 199,5220 Odense SØ,1667500.0,2023,129,4,2,Familiehandel
358,Hybenvej 31,"Hjallese, 5260 Odense S",900000.0,2023,89,3,1,Familiehandel
359,Ildfuglevænget 63,"Hjallese, 5260 Odense S",1250000.0,2023,115,4,1,Familiehandel
360,Tybrindvænget 36,5230 Odense M,1100000.0,2023,106,4,1,Familiehandel
361,Langkærgårdvej 1,"Næsbyhoved-Broby, 5270 Odense N",1400000.0,2023,152,5,2,Familiehandel
362,Blåbærvej 182,"Hjallese, 5260 Odense S",567830.0,2023,108,5,1,Familiehandel
363,"Drewsensvej 26, 1. mf.",5000 Odense C,850000.0,2023,49,2,1,Familiehandel
364,Blåbærvej 148,"Hjallese, 5260 Odense S",644049.0,2023,82,3,1,Familiehandel
365,Skovhavevej 56,"Fangel, 5260 Odense S",965000.0,2023,143,5,1,Familiehandel
366,"Sdr. Boulevard 258, st.",5000 Odense C,739500.0,2023,63,2,1,Familiehandel
367,"Skt. Jørgens Gade 10A, 1. tv.",5000 Odense C,562500.0,2023,88,3,1,Familiehandel
368,Morelvej 75,"Sanderum, 5250 Odense SV",1150000.0,2023,85,4,1,Familiehandel
369,Åløkke Allé 34,5000 Odense C,2250000.0,2023,170,5,2,Familiehandel
370,Chr. Molbechs Vej 10,5230 Odense M,1518481.0,2023,106,4,1,Familiehandel
371,Hjejlebakken 41,"Snestrup, 5210 Odense NV",1437500.0,2023,110,4,2,Familiehandel
372,Jeppe Aakjærs Allé 15,"Tarup, 5210 Odense NV",1500000.0,2023,143,6,1,Familiehandel
373,Ranunkelvænget 3B,"Dyrup, 5250 Odense SV",900000.0,2023,89,3,1,Familiehandel
374,Tjørnevej 41,5220 Odense SØ,2000000.0,2023,119,4,2,Familiehandel
375,Mågebakken 107,"Sanderum, 5250 Odense SV",722500.0,2023,149,4,2,Familiehandel
376,Storkeløkken 64,"Kirkendrup, 5270 Odense N",2185000.0,2023,157,6,2,Familiehandel
377,Zachariasvej 6,"Hjallese, 5260 Odense S",3400000.0,2023,116,5,1,Familiehandel
378,Anderuplunden 94,"Anderup, 5270 Odense N",1140000.0,2023,63,3,1,Familiehandel
379,Over-Holluf-Vej 93,"Over Holluf, 5220 Odense SØ",1500000.0,2023,151,5,2,Familiehandel
380,Pjentedamsgade 39,5000 Odense C,1650000.0,2023,154,5,2,Familiehandel
381,"Drewsensvej 22, 1. tv.",5000 Odense C,255000.0,2023,75,2,1,Familiehandel
382,"Vestergade 50, 1. tv.",5000 Odense C,756501.0,2023,96,3,1,Familiehandel
383,Thyras Allé 24,"Dalum, 5250 Odense SV",1740000.0,2023,118,4,1,Familiehandel
384,Krogen 9,"Seden, 5240 Odense NØ",300000.0,2023,104,4,1,Familiehandel
385,Travbanevej 17,"Sanderum, 5250 Odense SV",1000000.0,2023,116,4,2,Familiehandel
386,Tietgens Allé 14,5230 Odense M,1487500.0,2023,163,8,3,Familiehandel
387,Søhusvej 69A,"Kirkendrup, 5270 Odense N",754365.0,2023,104,4,1,Familiehandel
388,Vejrupvænge 14,"Vejrup, 5491 Blommenslyst",1450000.0,2023,160,7,2,Familiehandel
389,"Thorkildsgade 51, 1.",5000 Odense C,1750000.0,2023,110,4,2,Familiehandel
390,"Thorkildsgade 51, st.",5000 Odense C,1750000.0,2023,81,3,1,Familiehandel
391,Ellekærshaven 47,"Dalum, 5250 Odense SV",1147500.0,2023,105,4,1,Familiehandel
392,"Læssøegade 101, 1.",5230 Odense M,675000.0,2023,141,5,2,Familiehandel
393,Borsvinget 21N,"Bullerup, 5320 Agedrup",850000.0,2023,101,4,2,Familiehandel
394,"Kong Georgs Vej 23, st. th.",5000 Odense C,1000000.0,2023,66,2,1,Familiehandel
395,Rosenørnsvej 19,5230 Odense M,2650000.0,2023,163,6,2,Familiehandel
396,Sigurd Rings Vej 21,"Bolbro, 5200 Odense V",1250000.0,2023,142,4,2,Familiehandel
397,Rugmarken 16,"Hjallese, 5260 Odense S",1552500.0,2023,109,4,2,Familiehandel
398,Mælkehatten 35,"Tornbjerg, 5220 Odense SØ",1470096.0,2023,191,5,2,Familiehandel
399,Grønningen 1,5230 Odense M,1975000.0,2023,223,9,3,Familiehandel
400,Rødegårdsvænget 20,5230 Odense M,552500.0,2023,110,4,2,Familiehandel
401,Clausens Allé 74,"Dalum, 5250 Odense SV",2300000.0,2023,126,6,2,Familiehandel
402,"Thuresensgade 33D, 1. tv.",5000 Odense C,575000.0,2023,66,2,1,Familiehandel
403,"Jernbanegade 19, 1. tv.",5000 Odense C,850000.0,2023,109,4,1,Familiehandel
404,"Middelfartvej 149, st. th.","Bolbro, 5200 Odense V",1000000.0,2023,66,3,1,Familiehandel
405,Rulkehøjen 45,"Hjallese, 5260 Odense S",1750000.0,2023,168,5,3,Familiehandel
406,"Skt. Jørgens Gade 90, 2. tv.",5000 Odense C,1700000.0,2023,81,3,1,Familiehandel
407,Ildfuglevænget 260,"Hjallese, 5260 Odense S",1050000.0,2023,107,5,2,Familiehandel
408,Valnøddevej 59,"Stige, 5270 Odense N",1800000.0,2023,128,5,1,Familiehandel
409,Bragesvej 23,"Bolbro, 5200 Odense V",2525000.0,2023,121,4,2,Familiehandel
410,Ærøgade 58,5000 Odense C,1100000.0,2023,145,4,2,Familiehandel
411,Biskorupvej 19,"Biskorup, 5240 Odense NØ",932000.0,2023,144,4,1,Familiehandel
412,Hybenvej 27,"Hjallese, 5260 Odense S",1180000.0,2023,85,4,1,Familiehandel
413,Nyborgvej 180,5220 Odense SØ,786000.0,2023,167,5,2,Familiehandel
414,Svendborgvej 21,"Hjallese, 5260 Odense S",1400000.0,2023,163,4,2,Familiehandel
415,Lundekærsvej 74,"Bellinge, 5250 Odense SV",516560.0,2023,170,6,2,Familiehandel
416,Fjellebrovænget 5,5230 Odense M,300000.0,2023,135,4,1,Familiehandel
417,Hvidkløvervej 10,"Tarup, 5210 Odense NV",1600000.0,2023,151,5,3,Familiehandel
418,Vestermarksvej 23,"Fangel, 5260 Odense S",725000.0,2023,101,3,1,Familiehandel
419,"Skt. Knuds Gade 53, 2.",5000 Odense C,940000.0,2023,79,2,1,Familiehandel
420,Hedelundmarken 33,"Stige, 5270 Odense N",2000000.0,2023,180,4,2,Familiehandel
421,Toften 1,"Fraugde, 5220 Odense SØ",670000.0,2023,67,4,2,Familiehandel
422,Skibhusvej 202,5000 Odense C,1747500.0,2023,128,5,2,Familiehandel
423,Utzons Allé 13,5240 Odense NØ,1850000.0,2023,180,5,2,Familiehandel
424,Lumbyvej 49,5000 Odense C,577414.0,2023,80,3,1,Familiehandel
425,Søparken 34,"Hjallese, 5260 Odense S",2200000.0,2023,120,4,1,Familiehandel
426,Nr. Lyndelse Vej 15,"Højby, 5260 Odense S",1147000.0,2023,142,6,2,Familiehandel
427,Guldrankevej 122,5200 Odense V,1561500.0,2023,114,4,2,Familiehandel
428,Fraugde Byvej 3,"Fraugde, 5220 Odense SØ",562000.0,2023,152,5,1,Familiehandel
429,Hestehøjvej 74,"Højby, 5260 Odense S",1250000.0,2023,135,4,1,Familiehandel
430,Dragebakken 19,"Sanderum, 5250 Odense SV",700000.0,2023,179,5,2,Familiehandel
431,Fristedet 6,"Næsby, 5270 Odense N",324500.0,2023,99,4,1,Familiehandel
432,"Henriettevej 14, st. th.",5000 Odense C,667000.0,2023,67,2,1,Familiehandel
433,Hannerupgårdsvej 45,5230 Odense M,5300000.0,2023,161,6,2,Familiehandel
434,Slagkrogen 144,5220 Odense SØ,1250000.0,2023,99,4,1,Familiehandel
435,Højvang 109,"Næsby, 5270 Odense N",3450000.0,2023,74,3,1,Familiehandel
436,"Englandsgade 14, 3.",5000 Odense C,1572500.0,2023,228,6,2,Familiehandel
437,Goldschmidtsvænget 9,5230 Odense M,2750000.0,2023,146,5,3,Familiehandel
438,"Nyvangsvej 14, 2. th.",5000 Odense C,1300000.0,2023,60,2,1,Familiehandel
439,Degnevænget 4,"Næsby, 5270 Odense N",925000.0,2023,116,4,1,Familiehandel
440,Hasselvej 21,"Ejlstrup, 5200 Odense V",1320000.0,2023,110,4,2,Familiehandel
441,Hjertegræsvej 41,"Slukefter, 5210 Odense NV",949000.0,2023,143,5,2,Familiehandel
442,Rasmus Rasks Allé 57,"Bellinge, 5250 Odense SV",1232500.0,2023,131,5,2,Familiehandel
443,Niels Juels Allé 7,"Dalum, 5250 Odense SV",2300000.0,2023,108,5,2,Familiehandel
444,Ejlstrupvej 167,"Ejlstrup, 5200 Odense V",825000.0,2023,112,4,2,Familiehandel
445,Tyrsbjergvej 84,"Korup, 5210 Odense NV",1363061.0,2023,154,5,2,Familiehandel
446,Blåbærvej 172,"Hjallese, 5260 Odense S",1105000.0,2023,106,3,1,Familiehandel
447,Paarupvej 26,"Snestrup, 5210 Odense NV",1700000.0,2023,106,4,1,Familiehandel
448,Stenløkken 20,"Hjallese, 5260 Odense S",1512500.0,2023,139,5,1,Familiehandel
449,"Bogensevej 54, 1.","Næsby, 5270 Odense N",1150000.0,2023,108,3,2,Familiehandel
450,Ligustervænget 12,"Dalum, 5250 Odense SV",1700000.0,2023,168,6,2,Familiehandel
451,Korsgade 18B,"Allesø, 5270 Odense N",1500000.0,2023,114,3,1,Familiehandel
452,Korsgade 18A,"Allesø, 5270 Odense N",1500000.0,2023,223,8,2,Familiehandel
453,Niels Juels Allé 63,"Sanderum, 5250 Odense SV",1450000.0,2023,130,6,2,Familiehandel
454,Haveløkken 13,5210 Odense NV,977513.0,2023,120,5,2,Familiehandel
455,Kancellivej 16,"Bolbro, 5200 Odense V",780500.0,2023,110,3,1,Familiehandel
456,Egilsvej 109,"Højstrup, 5210 Odense NV",1200000.0,2023,126,4,1,Familiehandel
457,"Henriettevej 16, 4.",5000 Odense C,1100000.0,2023,64,2,1,Familiehandel
458,Rosenholmvænget 12,"Søhus, 5270 Odense N",375000.0,2023,101,4,1,Familiehandel
459,Lunden 12,"Bullerup, 5320 Agedrup",1550000.0,2023,225,8,2,Familiehandel
460,"Østre Stationsvej 39A, 1. 3.",5000 Odense C,1650000.0,2023,55,1,1,Familiehandel
461,"Floravænget 35, st. tv.","Dalum, 5250 Odense SV",950000.0,2023,66,2,1,Familiehandel
462,Thordahls Allé 32,"Dalum, 5250 Odense SV",1750000.0,2023,102,5,2,Familiehandel
463,"Floravænget 35, st. th.","Dalum, 5250 Odense SV",1100000.0,2023,79,3,1,Familiehandel
464,Paarupvej 36,"Snestrup, 5210 Odense NV",977500.0,2023,95,4,1,Familiehandel
465,Hjejlebakken 12,"Snestrup, 5210 Odense NV",1500000.0,2023,126,3,2,Familiehandel
466,Petersmindevej 21,5000 Odense C,2890000.0,2023,184,5,1,Familiehandel
467,Rådyrløkken 58,"Slukefter, 5210 Odense NV",925000.0,2023,123,4,2,Familiehandel
468,Valkendrupsgyden 79,"Næsbyhoved-Broby, 5270 Odense N",649365.0,2023,110,4,1,Familiehandel
469,Otte Ruds Vej 88,5220 Odense SØ,810000.0,2023,60,3,1,Familiehandel
470,Syvhøjevej 95,"Højby, 5260 Odense S",1300000.0,2022,158,5,2,Familiehandel
471,Lumbyvej 70A,"Næsby, 5000 Odense C",850000.0,2022,104,4,1,Familiehandel
472,Bogensevej 373,"Næsbyhoved-Broby, 5270 Odense N",1147257.0,2022,149,5,2,Familiehandel
473,Rugvang 39,"Tarup, 5210 Odense NV",1105000.0,2022,111,3,1,Familiehandel
474,"Overgade 68, 2. tv.",5000 Odense C,467500.0,2022,57,2,1,Familiehandel
475,Bjergegade 26B,5000 Odense C,1650000.0,2022,90,3,1,Familiehandel
476,Jens Benzons Gade 37,5000 Odense C,2127500.0,2022,160,6,2,Familiehandel
477,Musvågevej 16,"Snestrup, 5210 Odense NV",865500.0,2022,94,4,1,Familiehandel
478,Miovænget 28,"Søhus, 5270 Odense N",625000.0,2022,101,7,2,Familiehandel
479,Engvej 61,5230 Odense M,2750000.0,2022,130,5,2,Familiehandel
480,Kildegårdsvej 153,5240 Odense NØ,1105000.0,2022,150,4,1,Familiehandel
481,Østrupvej 33,"Tarup, 5210 Odense NV",1600000.0,2022,95,4,1,Familiehandel
482,Taksvænget 2,"Stige, 5270 Odense N",1600000.0,2022,127,4,2,Familiehandel
483,Kildegårdsvej 237,5240 Odense NØ,697000.0,2022,112,3,2,Familiehandel
484,Muslingevej 31,"Seden, 5240 Odense NØ",1300000.0,2022,142,4,2,Familiehandel
485,H.J. Poulsens Allé 116,"Sanderum, 5250 Odense SV",1247500.0,2022,85,3,1,Familiehandel
486,Rylevej 4,5000 Odense C,250000.0,2022,118,4,2,Familiehandel
487,Hunderupvej 53,5000 Odense C,3000000.0,2022,339,13,3,Familiehandel
488,Hunderupvej 161,5230 Odense M,1870000.0,2022,180,5,1,Familiehandel
489,Næsbygårdsvej 50,"Næsby, 5270 Odense N",968989.0,2022,173,5,2,Familiehandel
490,Gelskovvænget 12,5230 Odense M,925000.0,2022,106,3,1,Familiehandel
491,Søballehøjen 30,"Næsbyhoved-Broby, 5270 Odense N",1400000.0,2022,165,4,2,Familiehandel
492,Valkendrupsgyden 3,"Næsbyhoved-Broby, 5270 Odense N",1550000.0,2022,153,4,2,Familiehandel
493,"Hjallesevej 57, 1. tv.",5000 Odense C,190000.0,2022,63,2,1,Familiehandel
494,Hedelandsvej 23,"Hjallese, 5260 Odense S",1037500.0,2022,84,4,1,Familiehandel
495,Valkendrupsgyden 29,"Næsbyhoved-Broby, 5270 Odense N",595000.0,2022,158,6,2,Familiehandel
496,Grøndalsvej 2B,5000 Odense C,2100000.0,2022,80,3,1,Familiehandel
497,Morelvej 4,"Sanderum, 5250 Odense SV",850000.0,2022,100,4,2,Familiehandel
498,Lind Hansens Vej 50,5000 Odense C,2117762.0,2022,234,7,3,Familiehandel
499,Granvej 20,"Dyrup, 5250 Odense SV",754321.0,2022,110,4,2,Familiehandel
500,"Drewsensvej 3, 1. tv.",5000 Odense C,914808.0,2022,74,2,1,Familiehandel
501,Østerbæksvej 59,5230 Odense M,2671250.0,2022,138,6,2,Familiehandel
502,Nørrevænget 39,5000 Odense C,2150000.0,2022,188,8,3,Familiehandel
503,Guldbergsvej 23,5000 Odense C,998750.0,2022,128,5,2,Familiehandel
504,Rensdyrløkken 109,"Slukefter, 5210 Odense NV",550000.0,2022,117,4,1,Familiehandel
505,Prins Haralds Allé 65,"Sanderum, 5250 Odense SV",526791.0,2022,147,5,2,Familiehandel
506,Egøgårdvej 18,"Bellinge, 5250 Odense SV",1487500.0,2022,234,6,3,Familiehandel
507,"Thurøgade 7, 1.",5000 Odense C,1870000.0,2022,74,3,1,Familiehandel
508,Poul Møllers Vej 13,5230 Odense M,3325000.0,2022,135,5,3,Familiehandel
509,"Thurøgade 7, st.",5000 Odense C,1870000.0,2022,89,3,1,Familiehandel
510,Kongshøjvej 13,5230 Odense M,1225000.0,2022,199,7,3,Familiehandel
511,Bjergmarken 34,"Hjallese, 5260 Odense S",1695000.0,2022,98,4,1,Familiehandel
512,Jupitervænget 21,"Paarup, 5210 Odense NV",1245000.0,2022,130,4,2,Familiehandel
513,Guldsmedevænget 275,"Hjallese, 5260 Odense S",941920.0,2022,146,5,2,Familiehandel
514,Middelfartvej 308,"Stegsted, 5491 Blommenslyst",582326.0,2022,136,4,2,Familiehandel
515,Finsens Allé 29,5230 Odense M,6500000.0,2022,161,6,2,Familiehandel
516,Billeshavevænget 2,"Korup, 5210 Odense NV",2300000.0,2022,181,5,1,Familiehandel
517,"Skibhusvej 175, 4.",5000 Odense C,1850000.0,2022,108,4,1,Familiehandel
518,Muslingevej 38,"Seden, 5240 Odense NØ",1800000.0,2022,157,5,2,Familiehandel
519,P.M. Madsens Vej 16,"Hjallese, 5260 Odense S",1925000.0,2022,170,5,2,Familiehandel
520,Grønnevangen 35,"Snestrup, 5210 Odense NV",1850000.0,2022,115,4,1,Familiehandel
521,Rønnebærvangen 12,"Korup, 5210 Odense NV",1487407.0,2022,167,7,1,Familiehandel
522,Hestehøjvej 142,"Højby, 5260 Odense S",625000.0,2022,129,5,1,Familiehandel
523,Sneglehatten 17,"Tornbjerg, 5220 Odense SØ",550000.0,2022,96,4,1,Familiehandel
524,Otte Ruds Vej 123,5220 Odense SØ,890000.0,2022,60,3,1,Familiehandel
525,Damhusvej 43,5000 Odense C,1250000.0,2022,88,4,1,Familiehandel
526,Grævlingløkken 79,"Korup, 5210 Odense NV",1225000.0,2022,151,5,2,Familiehandel
527,Vesterbro 59B,5000 Odense C,1070000.0,2022,80,3,1,Familiehandel
528,Georgsgade 77,5000 Odense C,1250000.0,2022,66,4,1,Familiehandel
529,Brobygårdvej 3,5230 Odense M,1100000.0,2022,79,3,1,Familiehandel
530,Ellekærsvej 39,"Dalum, 5250 Odense SV",2300000.0,2022,97,3,1,Familiehandel
531,Krogsløkkeparken 23,"Seden, 5240 Odense NØ",696750.0,2022,110,4,1,Familiehandel
532,Vendersvej 9,5000 Odense C,445000.0,2022,83,4,1,Familiehandel
533,Mullerupvænget 12,5230 Odense M,762343.0,2022,113,4,1,Familiehandel
534,"Heliosvænget 44, 1. 2.","Dalum, 5250 Odense SV",681442.0,2022,84,2,1,Familiehandel
535,Skt. Klemens Vej 65,"Skt Klemens, 5260 Odense S",2559975.0,2022,137,5,2,Familiehandel
536,Hyldevænget 5,5220 Odense SØ,2300000.0,2022,172,6,2,Familiehandel
537,Ravnebjergvænget 6,5230 Odense M,1000000.0,2022,144,6,2,Familiehandel
538,Utzons Allé 54,5240 Odense NØ,1083750.0,2022,185,6,2,Familiehandel
539,Thurøgade 5,5000 Odense C,1742500.0,2022,162,5,2,Familiehandel
540,Kærlandsvej 15,"Hjallese, 5260 Odense S",1650000.0,2022,133,5,2,Familiehandel
541,Kroggårdvej 44,"Næsby, 5270 Odense N",1500000.0,2022,151,6,2,Familiehandel
542,Faaborgvej 64,"Dalum, 5250 Odense SV",2195000.0,2022,171,5,3,Familiehandel
543,"Skt. Jørgens Gade 101, st.",5000 Odense C,897000.0,2022,90,3,1,Familiehandel
544,"Skt. Jørgens Gade 101, 1.",5000 Odense C,897000.0,2022,90,3,1,Familiehandel
545,Skt. Hans Gade 36,5000 Odense C,750000.0,2022,122,4,2,Familiehandel
546,"Rødegårdsvej 32, st.",5000 Odense C,500000.0,2022,53,2,1,Familiehandel
547,Musvågevej 193,"Snestrup, 5210 Odense NV",1525000.0,2022,138,5,2,Familiehandel
548,Skibhusvej 212,5000 Odense C,1500000.0,2022,131,6,3,Familiehandel
549,"Nyborgvej 37, st. tv.",5000 Odense C,1185000.0,2022,58,2,1,Familiehandel
550,Tranehøjen 282,"Dyrup, 5250 Odense SV",437338.0,2022,75,3,1,Familiehandel
551,Næsbyhovedvænget 5,"Næsby, 5270 Odense N",1280000.0,2022,80,5,2,Familiehandel
552,"Buchwaldsgade 61D, 3. th.",5000 Odense C,1200000.0,2022,55,2,1,Familiehandel
553,"Ellekærsvej 45, st. th.","Dalum, 5250 Odense SV",328737.0,2022,61,3,1,Familiehandel
554,"Benediktsgade 24, 2. th.",5000 Odense C,1800000.0,2022,92,4,1,Familiehandel
555,Løkkegravene 119,"Lumby, 5270 Odense N",829000.0,2022,148,5,2,Familiehandel
556,"Dankvart Dreyers Vej 21, 1.",5230 Odense M,795500.0,2022,83,3,1,Familiehandel
557,"Dankvart Dreyers Vej 21, st.",5230 Odense M,795500.0,2022,93,3,1,Familiehandel
558,Nyborgvej 236A,5220 Odense SØ,1495552.0,2022,86,5,1,Familiehandel
559,Ernebjergvej 4,5230 Odense M,1304378.0,2022,152,5,2,Familiehandel
560,"Schacksgade 3, st. th.",5000 Odense C,880000.0,2022,70,2,1,Familiehandel
561,"Æbleparken 24, 1.","Søhus, 5270 Odense N",375000.0,2022,59,2,1,Familiehandel
562,Æblehaven 7,"Bullerup, 5320 Agedrup",818500.0,2022,120,5,2,Familiehandel
563,"Skibhusvej 22, 1.",5000 Odense C,835000.0,2022,81,3,1,Familiehandel
564,Henriettevej 93,5000 Odense C,1300000.0,2022,130,6,2,Familiehandel
565,Otte Ruds Vej 163,5220 Odense SØ,1000000.0,2022,60,3,1,Familiehandel
566,Flintholmvænget 17,5230 Odense M,2445000.0,2022,136,7,2,Familiehandel
567,Søhusvej 168,"Kirkendrup, 5270 Odense N",716500.0,2022,99,4,2,Familiehandel
568,Damsbovænget 18,5230 Odense M,1750448.0,2022,106,4,1,Familiehandel
